2026-01-02 04:54:32.703 [info] Starting Python Locator /home/josie/.vscode/extensions/ms-python.python-2025.20.1-linux-x64/python-env-tools/bin/pet server
2026-01-02 04:54:32.899 [info] Discovered env: /home/josie/Documents/programming/python/puter-vision/.venv/bin/python
2026-01-02 04:54:32.903 [info] Discovered env: /bin/python
2026-01-02 04:54:32.904 [info] Discovered env: /usr/bin/python
2026-01-02 04:54:32.906 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2026-01-02 04:54:32.906 [info] Discovered env: /usr/sbin/python
2026-01-02 04:54:32.913 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2026-01-02 04:54:32.913 [info] Discovered env: /sbin/python
2026-01-02 04:54:32.919 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2026-01-02 04:54:32.919 [info] Discovered env: /sbin/python3
2026-01-02 04:54:32.955 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2026-01-02 04:54:32.956 [info] Discovered env: /usr/sbin/python3
2026-01-02 04:54:32.957 [info] Env ("/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2026-01-02 04:54:32.957 [info] Discovered env: /sbin/python3.13
2026-01-02 04:54:32.958 [info] Env ("/usr/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2026-01-02 04:54:32.958 [info] Discovered env: /usr/sbin/python3.13
2026-01-02 04:54:32.959 [info] Locator Conda took 318.624742ms
2026-01-02 04:54:32.959 [info] Locator Homebrew took 118.464µs
2026-01-02 04:54:33.010 [info] Locator LinuxGlobal took 497.761868ms
2026-01-02 04:54:33.015 [info] Locator PipEnv took 63.164µs
2026-01-02 04:54:33.017 [info] Locator Pixi took 40.193µs
2026-01-02 04:54:33.017 [info] Locator Poetry took 463.749µs
2026-01-02 04:54:33.017 [info] Locator PyEnv took 1.183688ms
2026-01-02 04:54:33.018 [info] Locator Uv took 50.252µs
2026-01-02 04:54:33.018 [info] Locator Venv took 26.188µs
2026-01-02 04:54:33.018 [info] Locator VirtualEnv took 546.214µs
2026-01-02 04:54:33.018 [info] Locator VirtualEnvWrapper took 50.873µs
2026-01-02 04:54:33.018 [info] Locator GlobalVirtualEnvs took 130.073µs
2026-01-02 04:54:33.018 [info] Locator Locators took 532.730143ms
2026-01-02 04:54:33.018 [info] Locator Path took 722.132351ms
2026-01-02 04:54:33.018 [info] Locator Workspaces took 146.649824ms
2026-01-02 04:54:33.019 [info] Refresh completed in 723ms
2026-01-02 04:54:33.024 [info] Resolved Python Environment /home/josie/Documents/programming/python/puter-vision/.venv/bin/python
2026-01-02 04:55:32.344 [info] Resolved Python Environment /home/josie/Documents/programming/python/puter-vision/.venv/bin/python
2026-01-02 04:56:02.936 [info] Resolved Python Environment /home/josie/Documents/programming/python/puter-vision/.venv/bin/python
